$$Product2.Name$ProductSellingModel.Name$ProrationPolicy.Name,Id,IsDefault,Product2.Name,Product2Id,ProductSellingModel.Name,ProductSellingModelId,ProrationPolicy.Name,ProrationPolicyId
Silver Hardware Maintenance;Term Annual;Default Proration Policy,0iO3y000000PAwkEAG,true,Silver Hardware Maintenance,01t3y000007r7E2AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Fundamentals Training;One-Time,0iO3y000000PAwlEAG,true,QuantumBit Fundamentals Training,01t3y000007r7E7AAI,One-Time,0jP3y000000KynJEAS,,
C13 to C14 Power Cable 3';One-Time,0iO3y000000PAwVEAW,true,C13 to C14 Power Cable 3',01t3y000007r7DmAAI,One-Time,0jP3y000000KynJEAS,,
QuantumBit Essentials Training;One-Time,0iO3y000000PAwpEAG,true,QuantumBit Essentials Training,01t3y000007r7E8AAI,One-Time,0jP3y000000KynJEAS,,
Additional API Flex (100M);Term Annual;Default Proration Policy,0iO3y000000PAx4EAG,true,Additional API Flex (100M),01t3y000007r7DFAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Gov;Term Annual;Default Proration Policy,0iO3y000000PAx9EAG,true,Additional API Gov,01t3y000007r7DEAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Pre-Prod;Term Annual;Default Proration Policy,0iO3y000000PAxEEAW,true,Additional API Pre-Prod,01t3y000007r7DDAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API Prod;Term Annual;Default Proration Policy,0iO3y000000PAxAEAW,true,Additional API Prod,01t3y000007r7DCAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Automation QB Credits;Term Annual;Default Proration Policy,0iO3y000000PAxJEAW,true,Additional Automation QB Credits,01t3y000007r7DBAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional QB DataGraph (500M);Term Annual;Default Proration Policy,0iO3y000000PAxOEAW,true,Additional QB DataGraph (500M),01t3y000007r7DGAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
API Access Requests (AEH);Term Annual;Default Proration Policy,0iO3y000000PAxFEAW,true,API Access Requests (AEH),01t3y000007r7DHAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Flows - QB Starter;Term Annual;Default Proration Policy,0iO3y000000PAxTEAW,true,Additional Flows - QB Starter,01t3y000007r7D6AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Messages - QB Starter;Term Annual;Default Proration Policy,0iO3y000000PAxYEAW,true,Additional Messages - QB Starter,01t3y000007r7D8AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional Data Throughput (TB);Term Annual;Default Proration Policy,0iO3y000000PAxUEAW,true,Additional Data Throughput (TB),01t3y000007r7DAAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
***QuantumBit Starter Bundle;Term Annual;Default Proration Policy,0iO3y000000PAxdEAG,true,***QuantumBit Starter Bundle,01t3y000007r7NLAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QB API Management Solution;Term Annual;Default Proration Policy,0iO3y000000PAxiEAG,true,QB API Management Solution,01t3y000007r7NGAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Enterprise TEST;Term Annual;Default Proration Policy,0iO3y000000PAxnEAG,true,QuantumBit Enterprise TEST,01t3y000007r7NQAAY,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Starter;One-Time,0iO3y000000PAwaEAG,true,QuantumBit Starter,01t3y000007r7N6AAI,One-Time,0jP3y000000KynJEAS,,
Gold Hardware Maintenance;Term Annual;Default Proration Policy,0iO3y000000PAwbEAG,true,Gold Hardware Maintenance,01t3y000007r7E4AAI,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
Additional API;Term Annual;Default Proration Policy,0iO3y000000002MEAQ,true,Additional API,01t3y000006XnK1AAK,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
QuantumBit Complete Solution;Term Annual;Default Proration Policy,0iO3y000000002WEAQ,true,QuantumBit Complete Solution,01t3y000006XnK6AAK,Term Annual,0jP3y000000KynYEAS,Default Proration Policy,0mu3y000000oLwnAAE
