AvailabilityDate,BasedOn.Name,BasedOnId,ConfigureDuringSale,CurrencyIsoCode,Description,Family,Id,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,StockKeepingUnit,Type
2024-02-01T20:00:00.000+0000,Subscription,11B3y000000CaRbEAK,Allowed,USD,Test Subscription Product,Software,01t3y000006Xly3AAC,true,true,false,Subscription,SUB,Each,SUB,
,Processor,11B3y000000CaSKEA0,Allowed,USD,"Intel Xeon E5-2609 v4 1.7GHz,20M Cache,6.4GT/s QPI,Turbo,HT 8C/8T (85W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,01t3y000006XnkfAAC,true,true,false,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,,,
,Server,11B3y000000CaSZEA0,Allowed,USD,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",Bundle,01t3y000006XnkuAAC,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,Bundle
,Memory,11B3y000000CaSPEA0,Allowed,USD,16GB RDIMM,Hardware,01t3y000006XnkvAAC,true,true,false,16GB RDIMM,QB-MEM 16GB,Each,,
,Hard_Drive,11B3y000000CaSUEA0,Allowed,USD,8TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,01t3y000006Xnl9AAC,true,true,false,8TB 7.2k RPM NLSAS,QB-HD 8TB,Each,,
,Hard_Drive,11B3y000000CaSUEA0,Allowed,USD,"8TB 7.2k RPM Self-Encrypting NLSAS 12Gps 3.5 in - Performing like any other hard drive, with the encryption being completely transparent or invisible to the user.",Hardware,01t3y000006XnlAAAS,true,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,Each,,
,Network_Adapter,11B3y000000CaSQEA0,Allowed,USD,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,Hardware,01t3y000006XnlBAAS,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,
,Professional_Services_Bundle,11B3y000000CaSeEAK,Allowed,USD,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",Bundle,01t3y000006XnlEAAS,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,Bundle
,Engineering_Resources,11B3y000000CaSfEAK,Allowed,USD,Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the clients other systems are connected.,Services,01t3y000006XnlJAAS,true,true,false,Implementation Engineer,QB-SRV-IMP,,,
,,,Allowed,USD,Increase productivity by managing all your APIs and microservices from one place.,Software,01t3y000007r7NLAAY,true,true,false,***QuantumBit Starter Bundle,QB-Starter,,,Bundle
,Cables,11B3y0000004C98EAE,Allowed,USD,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,01t3y000007r8HyAAI,true,true,false,Configured Power Cable,QB-CMPC-5887,,,
,,,Allowed,USD,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,Bundle,01t3y000007r7N6AAI,true,true,false,QuantumBit Starter,QB-BDL-STND,,,Bundle
,Processor,11B3y000000CaSKEA0,Allowed,USD,"Intel Xeon E5-2660 v4 2.0GHz,35M Cache,9.60GT/s QPI,Turbo,HT,14C/28T (105W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,01t3y000006XnkkAAC,true,true,false,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,Each,,
,,,Allowed,USD,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,Bundle,01t3y000007r7NQAAY,true,true,false,QuantumBit Enterprise TEST,QB-BDL-ENTR-T,,,Bundle
,Processor,11B3y000000CaSKEA0,Allowed,USD,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W) - Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",Hardware,01t3y000006XnklAAC,true,true,false,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,,,
